;simufile;subject;real_tau;real_slope;real_intercept;real_sigmasqr
1;1;1;5;-15;0.228225;1
2;2;1;5;-15;0.228225;155.54224695822333
3;3;1;5;-15;0.228225;373.58540570122676
4;4;1;5;-2;0.228225;1
5;5;1;5;-2;0.228225;155.54224695822333
6;6;1;5;-2;0.228225;373.58540570122676
7;7;1;5;2;0.228225;1
8;8;1;5;2;0.228225;155.54224695822333
9;9;1;5;2;0.228225;373.58540570122676
10;10;1;5;15;0.228225;1
11;11;1;5;15;0.228225;155.54224695822333
12;12;1;5;15;0.228225;373.58540570122676
13;13;1;10;-15;0.228225;1
14;14;1;10;-15;0.228225;155.54224695822333
15;15;1;10;-15;0.228225;373.58540570122676
16;16;1;10;-2;0.228225;1
17;17;1;10;-2;0.228225;155.54224695822333
18;18;1;10;-2;0.228225;373.58540570122676
19;19;1;10;2;0.228225;1
20;20;1;10;2;0.228225;155.54224695822333
21;21;1;10;2;0.228225;373.58540570122676
22;22;1;10;15;0.228225;1
23;23;1;10;15;0.228225;155.54224695822333
24;24;1;10;15;0.228225;373.58540570122676
25;25;1;15;-15;0.228225;1
26;26;1;15;-15;0.228225;155.54224695822333
27;27;1;15;-15;0.228225;373.58540570122676
28;28;1;15;-2;0.228225;1
29;29;1;15;-2;0.228225;155.54224695822333
30;30;1;15;-2;0.228225;373.58540570122676
31;31;1;15;2;0.228225;1
32;32;1;15;2;0.228225;155.54224695822333
33;33;1;15;2;0.228225;373.58540570122676
34;34;1;15;15;0.228225;1
35;35;1;15;15;0.228225;155.54224695822333
36;36;1;15;15;0.228225;373.58540570122676
37;37;1;20;-15;0.228225;1
38;38;1;20;-15;0.228225;155.54224695822333
39;39;1;20;-15;0.228225;373.58540570122676
40;40;1;20;-2;0.228225;1
41;41;1;20;-2;0.228225;155.54224695822333
42;42;1;20;-2;0.228225;373.58540570122676
43;43;1;20;2;0.228225;1
44;44;1;20;2;0.228225;155.54224695822333
45;45;1;20;2;0.228225;373.58540570122676
46;46;1;20;15;0.228225;1
47;47;1;20;15;0.228225;155.54224695822333
48;48;1;20;15;0.228225;373.58540570122676
49;49;1;50;-15;0.228225;1
50;50;1;50;-15;0.228225;155.54224695822333
51;51;1;50;-15;0.228225;373.58540570122676
52;52;1;50;-2;0.228225;1
53;53;1;50;-2;0.228225;155.54224695822333
54;54;1;50;-2;0.228225;373.58540570122676
55;55;1;50;2;0.228225;1
56;56;1;50;2;0.228225;155.54224695822333
57;57;1;50;2;0.228225;373.58540570122676
58;58;1;50;15;0.228225;1
59;59;1;50;15;0.228225;155.54224695822333
60;60;1;50;15;0.228225;373.58540570122676
61;61;1;100;-15;0.228225;1
62;62;1;100;-15;0.228225;155.54224695822333
63;63;1;100;-15;0.228225;373.58540570122676
64;64;1;100;-2;0.228225;1
65;65;1;100;-2;0.228225;155.54224695822333
66;66;1;100;-2;0.228225;373.58540570122676
67;67;1;100;2;0.228225;1
68;68;1;100;2;0.228225;155.54224695822333
69;69;1;100;2;0.228225;373.58540570122676
70;70;1;100;15;0.228225;1
71;71;1;100;15;0.228225;155.54224695822333
72;72;1;100;15;0.228225;373.58540570122676
